x_coordinate,y_coordinate,concentration_mg_L,time_final
0.0,0.0,0.0,300.0
0.0,0.25,0.0,300.0
0.0,0.5,0.0,300.0
0.0,0.75,0.0,300.0
0.0,1.0,0.0,300.0
0.0,1.25,0.0,300.0
0.0,1.5,0.0,300.0
0.0,1.75,0.0,300.0
0.0,2.0,0.0,300.0
0.0,2.25,0.0,300.0
0.0,2.5,0.0,300.0
0.0,2.75,0.0,300.0
0.0,3.0,0.0,300.0
0.0,3.25,0.0,300.0
0.0,3.5,0.0,300.0
0.0,3.75,0.0,300.0
0.0,4.0,0.0,300.0
0.0,4.25,0.0,300.0
0.0,4.5,0.0,300.0
0.0,4.75,0.0,300.0
0.0,5.0,0.0,300.0
0.0,5.25,0.0,300.0
0.0,5.5,0.0,300.0
0.0,5.75,0.0,300.0
0.0,6.0,0.0,300.0
0.0,6.25,0.0,300.0
0.0,6.5,0.0,300.0
0.0,6.75,0.0,300.0
0.0,7.0,0.0,300.0
0.0,7.25,0.0,300.0
0.0,7.5,0.0,300.0
0.0,7.75,0.0,300.0
0.0,8.0,0.0,300.0
0.0,8.25,0.0,300.0
0.0,8.5,0.0,300.0
0.0,8.75,0.0,300.0
0.0,9.0,0.0,300.0
0.0,9.25,0.0,300.0
0.0,9.5,0.0,300.0
0.0,9.75,0.0,300.0
0.0,10.0,0.0,300.0
5.0,0.0,0.0,300.0
5.0,0.25,0.00570087640436553,300.0
5.0,0.5,0.020286293424405345,300.0
5.0,0.75,0.044668807527627016,300.0
5.0,1.0,0.07361997067720952,300.0
5.0,1.25,0.09764133266545902,300.0
5.0,1.5,0.10852258726903487,300.0
5.0,1.75,0.10384302052913384,300.0
5.0,2.0,0.08724794953448382,300.0
5.0,2.25,0.06534801036788611,300.0
5.0,2.5,0.04416210309543183,300.0
5.0,2.75,0.02719488100492172,300.0
5.0,3.0,0.015385268592550521,300.0
5.0,3.25,0.008052101834541765,300.0
5.0,3.5,0.003921639000164897,300.0
5.0,3.75,0.0017864711030303008,300.0
